total cycles (32767 Hz), repeat for 10 times: 5633630 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 6008680 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 18051 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 26928 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 52990 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 87637 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 173561 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 242013 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 361738 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 463976 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 617491 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 753540 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 940869 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1110697 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1331824 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1535409 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1790294 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 2027765 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 2316445 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 2587688 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 2910198 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 3215255 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 3571567 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 3910542 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 4300663 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 4673160 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 5096897 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 5503446 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 5961144 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 6401306 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 6892764 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 7367080 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 7892402 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 8400290 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 8959391 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 25155 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 37505 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 73883 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 122165 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 242076 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 337519 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 504603 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 647195 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 861432 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 1051199 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 1312635 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 1549560 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 1858116 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 2142225 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 2497873 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 2829122 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 3231976 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 3610429 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 4091702 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 4520530 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 5021583 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 5498018 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 6046586 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 6570626 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 7166511 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 7738313 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 8382021 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 9001318 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 9692668 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 10359375 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 11098211 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 11812274 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 12598730 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 28)
