total cycles (32767 Hz), repeat for 10 times: 738165 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 820181 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 910793 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1001888 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1101535 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1201690 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1310364 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1419528 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1537347 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1655623 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1782415 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1909732 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 2045656 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 2182114 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 2327091 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 3113 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 6223 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 11768 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 23532 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 45725 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 68585 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 101870 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 135825 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 180216 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 225278 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 280758 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 336908 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 403495 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 470729 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 548415 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 626755 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 715502 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 804974 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 904802 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 1005369 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 1116342 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 1227956 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 1350006 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 1472800 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 1605953 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 1739697 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 1883973 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 2028855 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 2184261 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 2340292 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 2506719 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 2673753 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 2851394 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 3761 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 7517 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 14146 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 28286 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 54796 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 82191 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 121958 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 162606 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 215634 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 269543 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 335809 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 402967 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 482497 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 32)
